Harry Potter;;;
Dans la partie d’échec, Harry Potter prend la place de :;Un fou;Une tour;Un pion
Quel est le mot de passe du bureau de Dumbledore ?;Sorbet Citron;Chocogrenouille;Dragées Surprise
Quel chiffre est écrit à l'avant du Poudlard Express ?;5972;4732;6849
Avec qui Harry est-il interdit de jouer à vie au Quidditch par Ombrage ?;George Weasley;Fred Weasley;Drago Malefoy
"Sur quelle(s) main(s) Harry s'écrit-il ""je ne dois pas dire de mensonge"" pendant ses retenues avec Ombrage ?";La droite;La gauche;Les deux
Everard et Dilys sont :;Deux directeurs de Poudlard;Deux amants célèbres de Poudlard;Deux préfets en chef
Quel est le prénom du professeur Gobe-Planche ?;Wilhelmina;Libellia;Carlotta
Quel est le nom de jeune fille de Molly Weasley ?;Prewett;Foist;Jugson
Lequel de ces Mangemorts n'était pas présent lors de l'invasion au ministère ?;Rowle;Crabbe;Goyle
En quelle année sont morts les parents de Harry Potter ?;1981;1982;1983
;;;
Sigles Français;;;
Que signifie AOC ?;Appellation d'Origine Contrôlée;Aliment Original Contrôlé;Association des Obligations des Consommateurs
Que signifie CROUS ?;Centre Régional des Oeuvres Universitaires et Scolaires;Centre de Restauration et d'Organisation Universitaire et Secondaire;Comité Régional pour l'Organisation Universitaire et Scolaire
Que signifie FAI ?;Fournisseur d'Accès Internet;Fournisseur d'Alimention et d'Informatique;Fédération à l'Accès Informatique
Que signifie l'INSEE ?;Institut National de la Statistique et des Études Économiques;Institut National de Service pour l'Économie et l'Enseignement;Institution Nationalisé pour les Statistiques des Établissements Économiques
Que signifie ADN ?;Acide Desoxyriboucléique;Atome Desoxygénénucléique;Aspérité Desoxygéné et Nucléanbique
Que signifie SAMU ?;Service d'Aide Médicale Urgente;Service d'Ambulance et de Médecine d'Urgence;Service Auxiliaire Mutualisé d'Urgence
Que signifie SFR ?;Société Française de Radiotéléphone;Société Francophone des Réseaux;Société Financière et Radio-téléphonique
Que signifie FNAC ?;Fédération Nationale d'Achat des Cadres;Franchise Nationale d'Art et de Culture;Firme Nationale d'Achat Culturel
Que signifie RATP ?;Régie autonome des transports parisiens;Reseaux automatisé des transports parisiens;Régie automatique des transports de Paris
Que signifie SMIC ?;Salaire Minimum Interprofessionnel de Croissance;Salaire Médian d'Intérêt Communautaire;Salaire Moyen d'Insertion de Croissance
;;;
Définitions de mots;;;
Que signifie le verbe Enrêner ?;Mettre des rênes;Etre dépendent de quelque chose;Etre à l'origine d'un fait
Qu'est-ce qu'un protocole ?;Un ensemble de règles établies;Le fait de savoir parler plusieurs langues;Une série de chiffre
Que fait une langue qui est protractile ?;Elle peut être étirée vers l'avant;Elle peut se diviser en deux;Elle peut s'enrouler sur elle même
Qu'est ce qu'un Campanile ?;Un cloché;Une maison de campagne;Une forteresse
ue signifie le mot « gentilé » ?;C'est le nom des habitants d'un lieu;C'est un synonyme du mot gentillesse;C'est le nom du mouvement que l'on fait avec un tournevis
Qu'est ce qu'un Pugilat ?;Un combat au corps à corps;Une demande d'audience;Une sorte de dague
Parmi ces définitions, laquelle n'est pas une torpille ?;Une espèce de calamar;Un poisson qui ressemble à une raie;Un engin automoteur sous-marin
Qu'est ce que la déontologie ?;Le code de conduite d'une profession;Une partie de la médecine qui étudie la peau;L'étude des facultés psychiques des dauphins
Qu'est ce qu'un carcan ?;Une contrainte qui entrave la liberté;Une sorte de montre;Une pièce de tissu
Que signifie le terme univoque ?;Qui n'a qu'un sens;Qui a plusieurs sens;Qui est sans contrainte
;;;
Les spécialités culinaires;;;
Quelle est la spécialité de Reims ?;Le biscuit rose;Le trou rémois;Le cidre rosé
Parmi ces spécialités, laquelle ne fait pas partie du patrimoine gastronomique de la ville de Troyes ?;La pâte de fruit à la mirabelle;Le chaource;L'andouillette
Dans quelle département trouve-t-on les lentilles du Puy ?;Haute Loire;Allier;Cantal
Dans quel département trouve-t-on la Teurgoule ?;Le Calvados;Le cantal;L'ardèche
Quel fromage ne trouve-t-on pas en Normandie ?;Saint Félicien;Livarot;Neufchâtel
Parmi ces spécialités, laquelle ne vient pas de la région PACA ?;Le cassoulet;La tapenade;Les calissons
Quelle est la spécialité de Tours ?;Les rillons;Le confis;Le magret
Parmi ces biscuits lesquelles ne vient pas de Bretagne ?;Les madeleines;Les craquelins;Les gavottes
Quelle est le nom de cette recette: Lamproie à la… ?;Bordelaise;Toulousaine;Marseillaise
Le Kouglof est une spécialité de :;L'Alsace;La lorraine;La Franche comté
;;;
Séries TV : les simpson - partie 1;;;
Comment s'appelle le père d'Homer Simpson ?;Abraham;Georges;Francis
Quel est le nom du dessin animé gore préféré de Bart et Lisa Simpson ?;Itchy et Scratchy show;Les tronçonneuses folles;Cat and dog
De quel instrument joue Lisa Simpson ?;Du saxophone;De la trompette;De la clarinette
Comment s'appelle le meilleur ami de Bart ?;Milhouse;Martin;Ralph
Quelle est la profession de Wiggum ?;C'est le chef de la police;Il est vendeur de BD;C'est le vrai nom de l'homme Abeille
Qui en veut à la vie de Bart Simpson ?;Tahiti Bob;Krusty le clown;L'homme Abeille
Qui est Smithers ?;L'assistant du président de la centrale nucléaire;Un collègue d'Homer Simpson;Le président de la centrale nucléaire où travaille Homer
Quelle est la nationalité de Willy ?;Ecossais;Canadien;Australien
Quelle est la nourriture préférée d'Homer ?;Les donuts;Les pizzas;Les hamburgers
Dans quelle ville habitent les Simpson ?;Springfield;Sheffield;Shortfield
;;;
Séries TV : les simpson - partie 2;;;
Qui est le créateur des Simpson ?;Matt Groening;Seth Mac Farlane;Glenn Eichler
Quel est le nom de jeune fille de Marge Simpson ?;Bouvier;Polsen;March
Que faisait le chien des Simpson avant qu'ils l'adoptent ?;De la course de lévriers;C'était un chien d'aveugle;Il était chien policer
Où Maud Flanders trouva t-elle la mort ?;Dans les gradins d'un stade;Elle disparaît en mer;Dans la maison des Simpson
Quelle réplique prononce très souvent Homer Simpson ?;Oh punaise!;Oh mon dieu!;Oh bravo!
Comment s'appelle la bière préférée des habitat de Springfield ?;La Duff;La Kronekein;La Spiner
Quelle est le vice de Marge ?;Elle a une addiction aux jeux d'argent;Elle se drogue secrètement;Elle boit souvent
Comment s'appelle la mère d'Homer ?;Mona;Gina;Dina
Comment s'appelle la ville voisine et ennemie de Springfrield ?;Shelbyville;Summerville;Stringville
Quelle est l'une des particularités de Moe ?;Il a des tendances suicidaires;Il est ventriloque;Il vole dans les supermarchés
;;;
Séries TV : Stargate SG1;;;
Où se trouve la base de commandement du SGC ?;Dans le Colorado;Dans l'Arizona;Dans l'Utah
Comment s'appelle les crabes métalliques qui se reproduisent rapidement en se nourrissant de métal ?;Les réplicateurs;Les réplicants;Les répliqueurs
Combien a y-t-il de saisons dans Stargate SG1 ?;10 Saisons;8 Saisons;12 Saisons
Dans l'épisode « L'histoire sans fin » que font Jack et Teal'c d'assez particulier ?;Ils font du golf avec la porte des étoiles;Ils jouent au tennis dans les couloirs de la base;Ils font du camping dans la base
Qui est le commandant suprême de la flotte Asgard ?;Thor;Loki;Penegal
De qui Jolinar était-elle la compagne ?;Martouf;Selmak;Malek
Quel mot désigne les habitants de la planète Terre ?;Les Tau'ri;Les Tok'ra;Les Oris
De qui Sha'are devient-elle l'hôte ?;Amonet;Amaterasu;Hathor
L'alliance des quatre races est composée des Anciens, Des Asgards, des Furlings et..;Des Nox;Des Ori;Des Unas
Comment meurt Daniel Jackson avant de faire son Ascension et d'être ensuite remplacé par Jonas Quinn ?;Il absorbe une dose de radiation;Il est tué par Apophis;Il tombe dans un ravin
;;;
Séries TV : NCIS;;;
Quels sont les prénoms de Gibbs ?;Leroy Jethro;Jack Lenny;Lance Jimmy
Comment est morte Kate à la fin de la deuxième saison ?;D'une balle dans la tête;Lors d'une explosion;En tombant d'un toit
Quelle est la boisson préférée d'Abby ?;Un soda caféine;Un diabolo menthe;Un thé glacé
Qui est en réalité Jeanne Benoit, la petite amie de Tony dans la Saison 4 ?;La fille d'un trafiquant d'armes;Une espionne russe;Un agent double de la CIA
De quelle grave maladie Tony DiNozzo est infectée dans la saison 2 ?;La peste;La tuberculose;Le cholera
A part les filles, quelle est la grande passion de Tony DiNozzo ?;Le cinéma;Le base-ball;Les voitures de courses
Ziva David est un ancien officier du … ?;Mossad;KGB;NSA
Lorsque Gibbs décide de démissionner à la fin de la Saison 3, quel personnage devient le chef de l'équipe ?;Tony;Ziva;McGee
Avec quel agent Palmer a-t-il eu une liaison ?;Lee;Ziva;Kate
Comment Jenny Shepard trouve-t-elle la mort au court de la saison 5 ?;Lors d'une fusillade;Lors d'un accident de voiture;Lors d'une explosion
;;;
Jeux de société;;;
Lequel de ces navires ne se retrouvent pas dans le « Toucher-couler » ?;Un cuirassé;Un sous-marin;Un porte-avions
Laquelle de ces couleurs n'existe pas au Trivial poursuite traditionnel ?;Rouge;Orange;Vert
Laquelle de ces lettres vaut 10 points au scrabble ?;K;J;Q
Quelle est la rue qui coute le moins cher au Monopoly français ?;Boulevard de Belleville;Rue de Vaugirard;Rue Lecourbe
Dans le monopoly d'origine combien gagnait-on en passant par la case départ ?;20 000 francs;2 000 francs;50 000 francs
Parmi ces pays, lequel n'est pas présent sur le plateau du jeu « Risk » ?;Russie;Ukraine;Chine
Combien y a-t-il de flèches au Backgammon ?;24;12;32
Lequel de ces déplacement n'existe pas aux échecs ?;Le pool;Le roque;En passant
Au jeu du Cluedo qui est professeur ?;Violet;Olive;Orange
Comment appelle-t-on le groupe de cartes au 1000 bornes qui comprend : As du volant, camion-citerne, increvable, prioritaire....;Les bottes;Les parades;Les attaques
;;;
Programmation;;;
Lequel de ces langages ne peut pas être exécuté côté serveur ?;HTML;JavaScript;PHP
Lequel de ces langages a la vitesse d'éxécution la plus rapide ?;C;PHP;Python
Quel est l'animal qui représente habituellement le langage PHP ?;Elephant;Serpent;Souris
Lequel de ces systèmes d'exploitation est sous environnement UNIX ?;Debian;Windows;Java
Lequel de ces langages est reconnu pour sa grande portabilité et sa flexibilité ?;Java;Python;C++
Laquelle de ces propositions n'est pas un langage de programmation ?;Saphir;Ruby;Perl
Quelle commande permet de planifier l'éxécution de tâches sous UNIX ?;crontab;task;run
Quel est le composant principal d'un ordinateur, sur lequel sont greffés les autres ?;Carte mère;Processeur;Carte graphique
Quel port externe n'existe pas sur un ordinateur ?;VGE;HDMI;USB
Quel nom d'attaque n'existe pas dans le domaine de la sécurité ?;MS-DOS 95;DDOS;Bruteforce
;;;
Sigles informatiques;;;
Que signifie HTTP ?;Hyper Text Transfer Protocol;Host Type Text Protocol;Host Trame Transfer Protocol
Que signifie SSL ?;Secure Socket Layer;Socket Same Loundge;Security Socket Law
Que signifie FTP ?;File Transfer Protocol;Film Transfert Processus;File Trame Pratical
Laquelle de ces propositions n'est pas un SGBDR ?;CSV;MySQL;MongoDB
Que signifie WWW ?;World Wide Web;Word Wild Web;Warp World Web
Que signifie URI ?;Uniform Resource Identifier;Ulimit Redirection Id;Unity Range Information
Que signifie IP ?;Internet Protocol;Internic Procedural;Internal Processus
Qu'est-ce que peut évoquer REMOTE_ADDR ?;Une Adresse IP;Une Adresse MAC;Une Prise de contrôle
Laquelle de ces propositions n'est pas une IP correcte ?;128.256.0.1;127.0.0.1;255.255.0.0
Laquelle de ces propositions n'est pas une MAC correcte ?;EX:3F:7E:E6:2D:58;EA:9D:00:5B:CE:FF;AA:BB:CC:DD:EE:FF
;;;
